sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,23.547370,0.930309,0.089460
00096_jerseyshort_shoulders_mill_90,22.275258,0.927392,0.115134
00096_jerseyshort_shoulders_mill_270,23.993123,0.938194,0.088014
00096_jerseyshort_shoulders_mill_315,23.580448,0.923223,0.097612
00096_shirtlong_punching_45,23.176392,0.921880,0.087121
00096_shirtlong_punching_90,21.898015,0.927329,0.113260
00096_shirtlong_punching_270,24.252061,0.938736,0.072943
00096_shirtlong_punching_315,23.666062,0.930869,0.080997
00145_shortlong_twist_tilt_left_45,22.390466,0.922875,0.098069
00145_shortlong_twist_tilt_left_90,19.825778,0.925966,0.126451
00145_shortlong_twist_tilt_left_270,22.824249,0.936424,0.087873
00145_shortlong_twist_tilt_left_315,23.286373,0.925573,0.095983
00215_poloshort_bend_back_and_front_45,24.811657,0.930625,0.074477
00215_poloshort_bend_back_and_front_90,25.895997,0.951365,0.054317
00215_poloshort_bend_back_and_front_270,25.074110,0.945199,0.073827
00215_poloshort_bend_back_and_front_315,24.863094,0.934616,0.070238
00215_shortlong_tilt_twist_left_45,25.062916,0.938753,0.062744
00215_shortlong_tilt_twist_left_90,23.873690,0.939090,0.068577
00215_shortlong_tilt_twist_left_270,24.914910,0.934078,0.071952
00215_shortlong_tilt_twist_left_315,25.285834,0.936753,0.064833
AVERAGE,23.724890,0.932962,0.084694
STD,1.429179,0.007790,0.018937
