sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,25.556901,0.940282,0.068637
00096_jerseyshort_shoulders_mill_90,24.860832,0.942610,0.084744
00096_jerseyshort_shoulders_mill_270,25.125005,0.942928,0.079024
00096_jerseyshort_shoulders_mill_315,25.304973,0.935450,0.076150
00096_shirtlong_punching_45,26.600339,0.942664,0.056890
00096_shirtlong_punching_90,25.744291,0.944166,0.059973
00096_shirtlong_punching_270,27.051341,0.952239,0.049465
00096_shirtlong_punching_315,26.620447,0.946436,0.055418
00145_shortlong_twist_tilt_left_45,26.720761,0.945711,0.055898
00145_shortlong_twist_tilt_left_90,25.457327,0.946256,0.071666
00145_shortlong_twist_tilt_left_270,27.614274,0.956723,0.048588
00145_shortlong_twist_tilt_left_315,26.676233,0.943062,0.059843
00215_poloshort_bend_back_and_front_45,27.961428,0.950720,0.048077
00215_poloshort_bend_back_and_front_90,28.039218,0.959655,0.039468
00215_poloshort_bend_back_and_front_270,27.736064,0.956133,0.054958
00215_poloshort_bend_back_and_front_315,27.769595,0.951754,0.049220
00215_shortlong_tilt_twist_left_45,27.208637,0.946178,0.048402
00215_shortlong_tilt_twist_left_90,26.207154,0.946909,0.055935
00215_shortlong_tilt_twist_left_270,27.670038,0.950325,0.045848
00215_shortlong_tilt_twist_left_315,26.837077,0.945316,0.052619
AVERAGE,26.638097,0.947276,0.058041
STD,0.988358,0.005806,0.011766
