sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,24.934992,0.936258,0.078718
00096_jerseyshort_shoulders_mill_90,23.948763,0.936272,0.097488
00096_jerseyshort_shoulders_mill_270,24.326037,0.939530,0.086248
00096_jerseyshort_shoulders_mill_315,23.885781,0.926158,0.090164
00096_shirtlong_punching_45,24.209551,0.929370,0.083383
00096_shirtlong_punching_90,23.647115,0.934125,0.095682
00096_shirtlong_punching_270,25.128265,0.942410,0.073163
00096_shirtlong_punching_315,24.247125,0.931134,0.082614
00145_shortlong_twist_tilt_left_45,23.202632,0.920063,0.094586
00145_shortlong_twist_tilt_left_90,22.391039,0.929832,0.115073
00145_shortlong_twist_tilt_left_270,23.375978,0.931395,0.094375
00145_shortlong_twist_tilt_left_315,23.288123,0.917601,0.103358
00215_poloshort_bend_back_and_front_45,24.853791,0.932708,0.076293
00215_poloshort_bend_back_and_front_90,25.891562,0.950298,0.058100
00215_poloshort_bend_back_and_front_270,25.563606,0.946846,0.069906
00215_poloshort_bend_back_and_front_315,22.812097,0.928249,0.121126
00215_shortlong_tilt_twist_left_45,26.165535,0.941094,0.059144
00215_shortlong_tilt_twist_left_90,25.736090,0.945255,0.062605
00215_shortlong_tilt_twist_left_270,26.072662,0.940265,0.061814
00215_shortlong_tilt_twist_left_315,25.508715,0.938094,0.066000
AVERAGE,24.459473,0.934848,0.083492
STD,1.143304,0.008504,0.018156
