sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_144,23.822802,0.932047,0.106427
00032_longshort_flying_eagle_216,25.106695,0.928420,0.090027
00032_shortlong_hips_144,26.441601,0.934753,0.057208
00032_shortlong_hips_216,26.810289,0.940017,0.053002
00032_shortshort_punching_144,22.677025,0.915240,0.122232
00032_shortshort_punching_216,25.523014,0.935718,0.073872
00096_jerseyshort_chicken_wings_144,25.503398,0.943022,0.072447
00096_jerseyshort_chicken_wings_216,27.581949,0.957799,0.045282
00096_jerseyshort_shoulders_mill_144,26.322570,0.937717,0.058372
00096_jerseyshort_shoulders_mill_216,26.212662,0.946783,0.059050
00096_longshort_ballerina_spin_144,24.818306,0.930959,0.103118
00096_longshort_ballerina_spin_216,26.843858,0.946865,0.060252
00096_shirtlong_basketball_144,26.567981,0.944900,0.067799
00096_shirtlong_basketball_216,25.960023,0.941870,0.073901
00096_shirtlong_punching_144,24.454800,0.932989,0.101055
00096_shirtlong_punching_216,26.596404,0.948407,0.052371
00096_shirtshort_ATUsquat_144,27.506302,0.950977,0.078203
00096_shirtshort_ATUsquat_216,28.775782,0.955569,0.053568
00096_shortshort_soccer_144,25.027197,0.928983,0.090172
00096_shortshort_soccer_216,25.885617,0.940419,0.082319
00127_shortlong_ATUsquat_144,28.164153,0.948017,0.061815
00127_shortlong_ATUsquat_216,28.983166,0.953917,0.050643
00127_shortlong_ballerina_spin_144,25.028924,0.926969,0.089446
00127_shortlong_ballerina_spin_216,26.712150,0.943503,0.057137
00127_shortlong_bend_back_and_front_144,25.428713,0.933440,0.064343
00127_shortlong_bend_back_and_front_216,27.926197,0.951203,0.040220
00145_shortlong_hips_144,23.470462,0.924467,0.095662
00145_shortlong_hips_216,25.374812,0.936747,0.061916
00145_shortlong_punching_144,24.616201,0.929711,0.077678
00145_shortlong_punching_216,25.645631,0.945888,0.063633
00145_shortlong_simple_144,23.158071,0.917715,0.105178
00145_shortlong_simple_216,24.804413,0.933924,0.069472
00145_shortlong_twist_tilt_left_144,24.394184,0.925309,0.091367
00145_shortlong_twist_tilt_left_216,24.972333,0.936764,0.079786
00215_jerseyshort_flying_eagle_144,26.611221,0.944087,0.068268
00215_jerseyshort_flying_eagle_216,25.064204,0.932999,0.092214
00215_jerseyshort_hips_144,25.137154,0.935411,0.071326
00215_jerseyshort_hips_216,26.352007,0.940057,0.063980
00215_poloshort_bend_back_and_front_144,27.178778,0.945322,0.063187
00215_poloshort_bend_back_and_front_216,27.485444,0.950183,0.054466
00215_poloshort_soccer_144,25.513792,0.939145,0.085063
00215_poloshort_soccer_216,27.219463,0.953134,0.058459
00215_shortlong_tilt_twist_left_144,26.595660,0.941068,0.061579
00215_shortlong_tilt_twist_left_216,27.634106,0.952281,0.053075
03331_longshort_chicken_wings_144,27.161377,0.956192,0.048362
03331_longshort_chicken_wings_216,26.634108,0.955726,0.044481
03331_shortshort_punching_144,25.750172,0.939945,0.067434
03331_shortshort_punching_216,26.648755,0.948685,0.051370
03375_blazerlong_babysit_trial2_144,23.669671,0.928453,0.093175
03375_blazerlong_babysit_trial2_216,25.733171,0.941755,0.057798
03375_blazerlong_volleyball_trial1_144,23.703020,0.926241,0.093948
03375_blazerlong_volleyball_trial1_216,26.154399,0.945325,0.058462
03375_longlong_basketball_trial2_144,24.628081,0.939308,0.075950
03375_longlong_basketball_trial2_216,24.133192,0.933935,0.084377
03375_longlong_climb_trial1_144,24.006530,0.934955,0.092568
03375_longlong_climb_trial1_216,24.153363,0.934103,0.083515
03375_longlong_golf_trial1_144,21.950305,0.918529,0.141295
03375_longlong_golf_trial1_216,22.811659,0.917505,0.100873
03375_longlong_handball_trial1_144,22.021911,0.922334,0.139554
03375_longlong_handball_trial1_216,24.927871,0.936941,0.080240
03375_longlong_music_trial1_144,23.420076,0.925082,0.104389
03375_longlong_music_trial1_216,25.554158,0.936154,0.067111
03375_shortlong_soccer_trial2_144,22.969870,0.932524,0.098634
03375_shortlong_soccer_trial2_216,22.739113,0.928713,0.106716
03375_shortshort_run_trial2_144,23.199815,0.931687,0.109295
03375_shortshort_run_trial2_216,24.300634,0.932113,0.081188
AVERAGE,25.426981,0.937893,0.076687
STD,1.620066,0.010212,0.022051
