sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_45,25.786777,0.930756,0.076573
00032_longshort_flying_eagle_315,26.190447,0.940716,0.065707
00032_shortlong_hips_45,28.445452,0.953290,0.042023
00032_shortlong_hips_315,27.935404,0.948720,0.043873
00032_shortshort_punching_45,27.415429,0.947669,0.051576
00032_shortshort_punching_315,27.041497,0.942000,0.057334
00096_jerseyshort_chicken_wings_45,28.186709,0.958981,0.040603
00096_jerseyshort_chicken_wings_315,27.295760,0.951195,0.051042
00096_jerseyshort_shoulders_mill_45,28.220089,0.956250,0.044943
00096_jerseyshort_shoulders_mill_315,27.215794,0.945396,0.054095
00096_longshort_ballerina_spin_45,26.547590,0.946819,0.053520
00096_longshort_ballerina_spin_315,26.586864,0.939655,0.062002
00096_shirtlong_basketball_45,26.795113,0.938520,0.065974
00096_shirtlong_basketball_315,26.448521,0.940984,0.070365
00096_shirtlong_punching_45,26.528966,0.943700,0.056862
00096_shirtlong_punching_315,26.836113,0.944011,0.060067
00096_shirtshort_ATUsquat_45,28.493114,0.959496,0.048009
00096_shirtshort_ATUsquat_315,28.371997,0.957193,0.049829
00096_shortshort_soccer_45,28.437399,0.953721,0.044802
00096_shortshort_soccer_315,26.022802,0.938203,0.078545
00127_shortlong_ATUsquat_45,28.080259,0.954969,0.048312
00127_shortlong_ATUsquat_315,28.904718,0.956003,0.044018
00127_shortlong_ballerina_spin_45,27.214891,0.946924,0.048670
00127_shortlong_ballerina_spin_315,25.887571,0.932622,0.062937
00127_shortlong_bend_back_and_front_45,26.248853,0.936555,0.072449
00127_shortlong_bend_back_and_front_315,25.296875,0.932421,0.078172
00145_shortlong_hips_45,27.389183,0.954246,0.043964
00145_shortlong_hips_315,26.367522,0.941107,0.058553
00145_shortlong_punching_45,27.740694,0.955094,0.052438
00145_shortlong_punching_315,26.788358,0.949105,0.058669
00145_shortlong_simple_45,26.959036,0.948787,0.056291
00145_shortlong_simple_315,26.647196,0.943651,0.059202
00145_shortlong_twist_tilt_left_45,26.224473,0.939855,0.065885
00145_shortlong_twist_tilt_left_315,26.348760,0.940454,0.064183
00215_jerseyshort_flying_eagle_45,25.892127,0.936298,0.075405
00215_jerseyshort_flying_eagle_315,26.492674,0.942623,0.069796
00215_jerseyshort_hips_45,28.312906,0.955864,0.046138
00215_jerseyshort_hips_315,27.151135,0.952073,0.056572
00215_poloshort_bend_back_and_front_45,27.443916,0.946526,0.050006
00215_poloshort_bend_back_and_front_315,27.855142,0.949694,0.048223
00215_poloshort_soccer_45,27.391408,0.952455,0.046918
00215_poloshort_soccer_315,27.551467,0.949043,0.051785
00215_shortlong_tilt_twist_left_45,26.999171,0.941866,0.054928
00215_shortlong_tilt_twist_left_315,28.021046,0.954844,0.044369
03331_longshort_chicken_wings_45,28.400539,0.961912,0.041963
03331_longshort_chicken_wings_315,27.415936,0.956519,0.051001
03331_shortshort_punching_45,28.315273,0.955706,0.038738
03331_shortshort_punching_315,29.037876,0.962058,0.037407
03375_blazerlong_babysit_trial2_45,26.312980,0.941932,0.055665
03375_blazerlong_babysit_trial2_315,26.015979,0.935914,0.061455
03375_blazerlong_volleyball_trial1_45,26.307389,0.936879,0.058644
03375_blazerlong_volleyball_trial1_315,26.295329,0.936948,0.063703
03375_longlong_basketball_trial2_45,24.728148,0.933161,0.076288
03375_longlong_basketball_trial2_315,25.133362,0.934577,0.073607
03375_longlong_climb_trial1_45,25.800691,0.937533,0.067428
03375_longlong_climb_trial1_315,25.173015,0.934154,0.074758
03375_longlong_golf_trial1_45,25.598992,0.939895,0.073215
03375_longlong_golf_trial1_315,25.664518,0.941896,0.071443
03375_longlong_handball_trial1_45,25.576040,0.935837,0.072121
03375_longlong_handball_trial1_315,25.521620,0.931987,0.071074
03375_longlong_music_trial1_45,27.234772,0.948446,0.047435
03375_longlong_music_trial1_315,26.714924,0.943407,0.058540
03375_shortlong_soccer_trial2_45,24.841053,0.932708,0.074749
03375_shortlong_soccer_trial2_315,24.391212,0.930384,0.081879
03375_shortshort_run_trial2_45,25.577164,0.937605,0.066917
03375_shortshort_run_trial2_315,25.433355,0.935481,0.076963
00032_longshort_flying_eagle_90,27.278343,0.949288,0.063159
00032_longshort_flying_eagle_270,25.757638,0.940228,0.081172
00032_shortlong_hips_90,28.742809,0.955335,0.042961
00032_shortlong_hips_270,29.859159,0.961983,0.034756
00032_shortshort_punching_90,27.383744,0.949887,0.058769
00032_shortshort_punching_270,26.231548,0.948586,0.069860
00096_jerseyshort_chicken_wings_90,28.129841,0.961016,0.042480
00096_jerseyshort_chicken_wings_270,28.872310,0.965049,0.041247
00096_jerseyshort_shoulders_mill_90,28.704417,0.958197,0.044588
00096_jerseyshort_shoulders_mill_270,28.818721,0.958776,0.045398
00096_longshort_ballerina_spin_90,25.686665,0.936596,0.077037
00096_longshort_ballerina_spin_270,27.631995,0.946989,0.054746
00096_shirtlong_basketball_90,27.042808,0.945559,0.077878
00096_shirtlong_basketball_270,27.598320,0.951426,0.061259
00096_shirtlong_punching_90,26.182637,0.942925,0.068648
00096_shirtlong_punching_270,27.975780,0.954064,0.049557
00096_shirtshort_ATUsquat_90,29.902247,0.970199,0.040737
00096_shirtshort_ATUsquat_270,29.971756,0.969868,0.036739
00096_shortshort_soccer_90,26.707768,0.934689,0.070813
00096_shortshort_soccer_270,27.170645,0.943940,0.069499
00127_shortlong_ATUsquat_90,29.419743,0.967495,0.036520
00127_shortlong_ATUsquat_270,30.570691,0.969891,0.029520
00127_shortlong_ballerina_spin_90,26.536531,0.941004,0.061837
00127_shortlong_ballerina_spin_270,26.837423,0.942949,0.059740
00127_shortlong_bend_back_and_front_90,27.135370,0.946754,0.054867
00127_shortlong_bend_back_and_front_270,25.985559,0.939968,0.076896
00145_shortlong_hips_90,25.477374,0.948374,0.064841
00145_shortlong_hips_270,27.199990,0.951078,0.048416
00145_shortlong_punching_90,26.958276,0.954415,0.057386
00145_shortlong_punching_270,27.102205,0.954687,0.054673
00145_shortlong_simple_90,26.744930,0.957187,0.057455
00145_shortlong_simple_270,28.132184,0.960636,0.043759
00145_shortlong_twist_tilt_left_90,26.065522,0.944762,0.073530
00145_shortlong_twist_tilt_left_270,26.991336,0.947429,0.062486
00215_jerseyshort_flying_eagle_90,27.970539,0.953576,0.057104
00215_jerseyshort_flying_eagle_270,25.860039,0.945960,0.077905
00215_jerseyshort_hips_90,28.936062,0.961052,0.043128
00215_jerseyshort_hips_270,28.500919,0.959471,0.050167
00215_poloshort_bend_back_and_front_90,28.783539,0.961618,0.043121
00215_poloshort_bend_back_and_front_270,28.151328,0.956527,0.051009
00215_poloshort_soccer_90,27.111820,0.949744,0.064569
00215_poloshort_soccer_270,27.527263,0.952296,0.052147
00215_shortlong_tilt_twist_left_90,28.753704,0.959492,0.040719
00215_shortlong_tilt_twist_left_270,28.755326,0.959318,0.044930
03331_longshort_chicken_wings_90,29.402594,0.969535,0.031624
03331_longshort_chicken_wings_270,28.335582,0.966126,0.039171
03331_shortshort_punching_90,29.971179,0.965283,0.034886
03331_shortshort_punching_270,27.930986,0.959823,0.043113
03375_blazerlong_babysit_trial2_90,25.166682,0.944991,0.069321
03375_blazerlong_babysit_trial2_270,27.057995,0.951886,0.054944
03375_blazerlong_volleyball_trial1_90,26.230481,0.950053,0.060953
03375_blazerlong_volleyball_trial1_270,25.829910,0.944126,0.066379
03375_longlong_basketball_trial2_90,24.398216,0.941232,0.082519
03375_longlong_basketball_trial2_270,24.871891,0.940028,0.084970
03375_longlong_climb_trial1_90,25.179148,0.938833,0.077071
03375_longlong_climb_trial1_270,24.783713,0.935175,0.082402
03375_longlong_golf_trial1_90,24.168336,0.941645,0.089844
03375_longlong_golf_trial1_270,24.700452,0.938164,0.083782
03375_longlong_handball_trial1_90,25.319543,0.943269,0.078440
03375_longlong_handball_trial1_270,25.367228,0.938927,0.074223
03375_longlong_music_trial1_90,25.530560,0.946667,0.061295
03375_longlong_music_trial1_270,26.912573,0.951087,0.057416
03375_shortlong_soccer_trial2_90,24.652971,0.939901,0.072205
03375_shortlong_soccer_trial2_270,24.444254,0.943114,0.078292
03375_shortshort_run_trial2_90,25.071585,0.939741,0.083222
03375_shortshort_run_trial2_270,24.212789,0.935029,0.092348
AVERAGE,26.940885,0.947805,0.059144
STD,1.402419,0.009716,0.014153
