sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_72,25.492237,0.938401,0.084787
00032_longshort_flying_eagle_288,26.252056,0.946939,0.070015
00032_shortlong_hips_72,27.495792,0.948972,0.049856
00032_shortlong_hips_288,28.626197,0.953587,0.045947
00032_shortshort_punching_72,25.517799,0.937520,0.079012
00032_shortshort_punching_288,26.405218,0.941052,0.065102
00096_jerseyshort_chicken_wings_72,26.478248,0.950570,0.064223
00096_jerseyshort_chicken_wings_288,27.221769,0.953358,0.054692
00096_jerseyshort_shoulders_mill_72,27.707052,0.951565,0.050217
00096_jerseyshort_shoulders_mill_288,27.860135,0.950931,0.052008
00096_longshort_ballerina_spin_72,25.863527,0.941126,0.082288
00096_longshort_ballerina_spin_288,25.318804,0.933625,0.090879
00096_shirtlong_basketball_72,27.222438,0.948854,0.060075
00096_shirtlong_basketball_288,27.423669,0.949064,0.061932
00096_shirtlong_punching_72,25.463679,0.941642,0.083819
00096_shirtlong_punching_288,25.676256,0.937335,0.075886
00096_shirtshort_ATUsquat_72,27.746789,0.959046,0.069523
00096_shirtshort_ATUsquat_288,27.518602,0.954231,0.060102
00096_shortshort_soccer_72,26.887951,0.941097,0.066741
00096_shortshort_soccer_288,27.366194,0.946100,0.060516
00127_shortlong_ATUsquat_72,27.886222,0.953625,0.062531
00127_shortlong_ATUsquat_288,27.786542,0.953264,0.057864
00127_shortlong_ballerina_spin_72,25.632017,0.936752,0.082542
00127_shortlong_ballerina_spin_288,25.761453,0.934737,0.083914
00127_shortlong_bend_back_and_front_72,25.898947,0.939993,0.062478
00127_shortlong_bend_back_and_front_288,26.703372,0.944181,0.058770
00145_shortlong_hips_72,26.810702,0.952545,0.056372
00145_shortlong_hips_288,27.169387,0.947996,0.055637
00145_shortlong_punching_72,25.830323,0.942617,0.076617
00145_shortlong_punching_288,25.624569,0.943151,0.076135
00145_shortlong_simple_72,25.942884,0.945106,0.070043
00145_shortlong_simple_288,26.089933,0.944631,0.058542
00145_shortlong_twist_tilt_left_72,25.770218,0.935734,0.074792
00145_shortlong_twist_tilt_left_288,26.640555,0.945366,0.068614
00215_jerseyshort_flying_eagle_72,27.220179,0.948552,0.063453
00215_jerseyshort_flying_eagle_288,27.051935,0.951276,0.066020
00215_jerseyshort_hips_72,27.194909,0.951431,0.053095
00215_jerseyshort_hips_288,27.980807,0.955454,0.048337
00215_poloshort_bend_back_and_front_72,27.583746,0.951446,0.058916
00215_poloshort_bend_back_and_front_288,27.822217,0.953361,0.057017
00215_poloshort_soccer_72,27.535249,0.950858,0.058571
00215_poloshort_soccer_288,27.613165,0.946758,0.063341
00215_shortlong_tilt_twist_left_72,26.849295,0.941550,0.059257
00215_shortlong_tilt_twist_left_288,28.022898,0.956236,0.049178
03331_longshort_chicken_wings_72,28.587062,0.961119,0.039419
03331_longshort_chicken_wings_288,28.293438,0.961063,0.043102
03331_shortshort_punching_72,28.918701,0.957466,0.042816
03331_shortshort_punching_288,28.649857,0.958098,0.041392
03375_blazerlong_babysit_trial2_72,26.143630,0.945032,0.066363
03375_blazerlong_babysit_trial2_288,26.223440,0.945021,0.062566
03375_blazerlong_volleyball_trial1_72,25.565342,0.940967,0.070930
03375_blazerlong_volleyball_trial1_288,25.581628,0.935518,0.074096
03375_longlong_basketball_trial2_72,25.040774,0.937503,0.081551
03375_longlong_basketball_trial2_288,25.319347,0.940174,0.077294
03375_longlong_climb_trial1_72,25.702423,0.937699,0.079567
03375_longlong_climb_trial1_288,25.328009,0.937950,0.076514
03375_longlong_golf_trial1_72,24.298571,0.936437,0.106454
03375_longlong_golf_trial1_288,23.714282,0.930912,0.107237
03375_longlong_handball_trial1_72,23.426127,0.929212,0.119736
03375_longlong_handball_trial1_288,23.246383,0.922018,0.122215
03375_longlong_music_trial1_72,24.556863,0.942993,0.089508
03375_longlong_music_trial1_288,25.616899,0.945551,0.080487
03375_shortlong_soccer_trial2_72,24.022418,0.937168,0.094384
03375_shortlong_soccer_trial2_288,24.339092,0.937487,0.090954
03375_shortshort_run_trial2_72,25.106308,0.939045,0.082072
03375_shortshort_run_trial2_288,25.072660,0.936676,0.081452
00032_longshort_flying_eagle_144,23.822802,0.932047,0.106427
00032_longshort_flying_eagle_216,25.106695,0.928420,0.090027
00032_shortlong_hips_144,26.441601,0.934753,0.057208
00032_shortlong_hips_216,26.810289,0.940017,0.053002
00032_shortshort_punching_144,22.677025,0.915240,0.122232
00032_shortshort_punching_216,25.523014,0.935718,0.073872
00096_jerseyshort_chicken_wings_144,25.503398,0.943022,0.072447
00096_jerseyshort_chicken_wings_216,27.581949,0.957799,0.045282
00096_jerseyshort_shoulders_mill_144,26.322570,0.937717,0.058372
00096_jerseyshort_shoulders_mill_216,26.212662,0.946783,0.059050
00096_longshort_ballerina_spin_144,24.818306,0.930959,0.103118
00096_longshort_ballerina_spin_216,26.843858,0.946865,0.060252
00096_shirtlong_basketball_144,26.567981,0.944900,0.067799
00096_shirtlong_basketball_216,25.960023,0.941870,0.073901
00096_shirtlong_punching_144,24.454800,0.932989,0.101055
00096_shirtlong_punching_216,26.596404,0.948407,0.052371
00096_shirtshort_ATUsquat_144,27.506302,0.950977,0.078203
00096_shirtshort_ATUsquat_216,28.775782,0.955569,0.053568
00096_shortshort_soccer_144,25.027197,0.928983,0.090172
00096_shortshort_soccer_216,25.885617,0.940419,0.082319
00127_shortlong_ATUsquat_144,28.164153,0.948017,0.061815
00127_shortlong_ATUsquat_216,28.983166,0.953917,0.050643
00127_shortlong_ballerina_spin_144,25.028924,0.926969,0.089446
00127_shortlong_ballerina_spin_216,26.712150,0.943503,0.057137
00127_shortlong_bend_back_and_front_144,25.428713,0.933440,0.064343
00127_shortlong_bend_back_and_front_216,27.926197,0.951203,0.040220
00145_shortlong_hips_144,23.470462,0.924467,0.095662
00145_shortlong_hips_216,25.374812,0.936747,0.061916
00145_shortlong_punching_144,24.616201,0.929711,0.077678
00145_shortlong_punching_216,25.645631,0.945888,0.063633
00145_shortlong_simple_144,23.158071,0.917715,0.105178
00145_shortlong_simple_216,24.804413,0.933924,0.069472
00145_shortlong_twist_tilt_left_144,24.394184,0.925309,0.091367
00145_shortlong_twist_tilt_left_216,24.972333,0.936764,0.079786
00215_jerseyshort_flying_eagle_144,26.611221,0.944087,0.068268
00215_jerseyshort_flying_eagle_216,25.064204,0.932999,0.092214
00215_jerseyshort_hips_144,25.137154,0.935411,0.071326
00215_jerseyshort_hips_216,26.352007,0.940057,0.063980
00215_poloshort_bend_back_and_front_144,27.178778,0.945322,0.063187
00215_poloshort_bend_back_and_front_216,27.485444,0.950183,0.054466
00215_poloshort_soccer_144,25.513792,0.939145,0.085063
00215_poloshort_soccer_216,27.219463,0.953134,0.058459
00215_shortlong_tilt_twist_left_144,26.595660,0.941068,0.061579
00215_shortlong_tilt_twist_left_216,27.634106,0.952281,0.053075
03331_longshort_chicken_wings_144,27.161377,0.956192,0.048362
03331_longshort_chicken_wings_216,26.634108,0.955726,0.044481
03331_shortshort_punching_144,25.750172,0.939945,0.067434
03331_shortshort_punching_216,26.648755,0.948685,0.051370
03375_blazerlong_babysit_trial2_144,23.669671,0.928453,0.093175
03375_blazerlong_babysit_trial2_216,25.733171,0.941755,0.057798
03375_blazerlong_volleyball_trial1_144,23.703020,0.926241,0.093948
03375_blazerlong_volleyball_trial1_216,26.154399,0.945325,0.058462
03375_longlong_basketball_trial2_144,24.628081,0.939308,0.075950
03375_longlong_basketball_trial2_216,24.133192,0.933935,0.084377
03375_longlong_climb_trial1_144,24.006530,0.934955,0.092568
03375_longlong_climb_trial1_216,24.153363,0.934103,0.083515
03375_longlong_golf_trial1_144,21.950305,0.918529,0.141295
03375_longlong_golf_trial1_216,22.811659,0.917505,0.100873
03375_longlong_handball_trial1_144,22.021911,0.922334,0.139554
03375_longlong_handball_trial1_216,24.927871,0.936941,0.080240
03375_longlong_music_trial1_144,23.420076,0.925082,0.104389
03375_longlong_music_trial1_216,25.554158,0.936154,0.067111
03375_shortlong_soccer_trial2_144,22.969870,0.932524,0.098634
03375_shortlong_soccer_trial2_216,22.739113,0.928713,0.106716
03375_shortshort_run_trial2_144,23.199815,0.931687,0.109295
03375_shortshort_run_trial2_216,24.300634,0.932113,0.081188
AVERAGE,25.915909,0.941422,0.073039
STD,1.564683,0.009908,0.020270
