frame,psnr,ssim,lpips
0,25.317163467407227,0.9369099736213684,0.05791311338543892
1,25.75617027282715,0.9411725997924805,0.05398665741086006
2,25.725610733032227,0.9410800933837891,0.05326314643025398
3,25.831161499023438,0.9418240189552307,0.055164992809295654
4,25.789796829223633,0.9419512152671814,0.056938670575618744
5,25.627765655517578,0.941832959651947,0.059512265026569366
6,25.556751251220703,0.9433971047401428,0.06459897756576538
7,24.872848510742188,0.9388560652732849,0.059964124113321304
8,24.112247467041016,0.9315930008888245,0.06817986071109772
9,23.854093551635742,0.9256141781806946,0.07910812646150589
10,23.64417266845703,0.9201337695121765,0.0835016593337059
11,23.70012855529785,0.9237644076347351,0.08540996164083481
12,23.503908157348633,0.9221889972686768,0.08576735854148865
13,22.984622955322266,0.9166792035102844,0.0894184410572052
14,22.59678077697754,0.9155597686767578,0.0959765613079071
15,22.268766403198242,0.914844810962677,0.09837953746318817
16,22.246095657348633,0.9168277382850647,0.09689846634864807
17,22.38494300842285,0.9179399013519287,0.09047422558069229
18,22.724895477294922,0.9218196868896484,0.08594544976949692
19,22.6953067779541,0.9184189438819885,0.08349955081939697
20,22.71514892578125,0.9190275073051453,0.08472155779600143
21,22.58271026611328,0.9184642434120178,0.08160854130983353
22,22.87495231628418,0.9232943058013916,0.07898348569869995
23,22.66837501525879,0.9155966639518738,0.08490210026502609
24,22.5081844329834,0.9110717177391052,0.08972172439098358
25,22.420503616333008,0.909275233745575,0.08698565512895584
26,22.436376571655273,0.9076667428016663,0.08848094195127487
27,22.58323097229004,0.9093964099884033,0.08825460821390152
28,22.78152084350586,0.9149827361106873,0.08726891875267029
29,22.765308380126953,0.9157876372337341,0.08970384299755096
30,22.75836944580078,0.9138596653938293,0.08983967453241348
31,22.817934036254883,0.9139546751976013,0.08656810969114304
32,22.686939239501953,0.9138217568397522,0.08903105556964874
33,22.64667320251465,0.9145862460136414,0.09039691835641861
34,22.214250564575195,0.9090784192085266,0.09895506501197815
35,22.120346069335938,0.9092314839363098,0.09823610633611679
