sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,26.791423,0.944691,0.054501
00096_jerseyshort_shoulders_mill_90,26.745477,0.948474,0.056011
00096_jerseyshort_shoulders_mill_270,28.104916,0.956040,0.051137
00096_jerseyshort_shoulders_mill_315,26.298536,0.937398,0.059004
00096_shirtlong_punching_45,26.632259,0.943648,0.052283
00096_shirtlong_punching_90,26.069695,0.943574,0.068869
00096_shirtlong_punching_270,27.870415,0.954867,0.045961
00096_shirtlong_punching_315,26.966745,0.946920,0.053105
00145_shortlong_twist_tilt_left_45,26.360174,0.941977,0.058982
00145_shortlong_twist_tilt_left_90,26.356216,0.946781,0.063910
00145_shortlong_twist_tilt_left_270,27.143517,0.950478,0.059051
00145_shortlong_twist_tilt_left_315,26.642733,0.943575,0.055362
00215_poloshort_bend_back_and_front_45,27.367894,0.945918,0.046814
00215_poloshort_bend_back_and_front_90,28.402343,0.959652,0.040346
00215_poloshort_bend_back_and_front_270,28.554362,0.959258,0.040683
00215_poloshort_bend_back_and_front_315,27.531008,0.945220,0.044918
00215_shortlong_tilt_twist_left_45,26.813267,0.946498,0.050676
00215_shortlong_tilt_twist_left_90,28.940376,0.964219,0.035834
00215_shortlong_tilt_twist_left_270,28.134915,0.958011,0.043586
00215_shortlong_tilt_twist_left_315,27.484491,0.950988,0.043969
AVERAGE,27.260538,0.949409,0.051250
STD,0.816018,0.006884,0.008289
