sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_60,26.909023,0.942635,0.064030
00032_longshort_flying_eagle_300,26.101375,0.942542,0.065993
00032_shortlong_hips_60,29.187198,0.955806,0.038753
00032_shortlong_hips_300,29.993163,0.962083,0.036526
00032_shortshort_punching_60,27.421283,0.948793,0.054551
00032_shortshort_punching_300,27.336643,0.946003,0.058977
00096_jerseyshort_chicken_wings_60,28.791066,0.961191,0.039991
00096_jerseyshort_chicken_wings_300,29.357168,0.962515,0.039229
00096_jerseyshort_shoulders_mill_60,28.259795,0.955542,0.043928
00096_jerseyshort_shoulders_mill_300,28.465128,0.955343,0.042485
00096_longshort_ballerina_spin_60,27.177219,0.949497,0.053347
00096_longshort_ballerina_spin_300,27.388281,0.944863,0.057713
00096_shirtlong_basketball_60,27.931573,0.947728,0.050371
00096_shirtlong_basketball_300,28.097775,0.949744,0.048110
00096_shirtlong_punching_60,26.077536,0.937373,0.068903
00096_shirtlong_punching_300,27.771776,0.948595,0.050564
00096_shirtshort_ATUsquat_60,29.546428,0.963671,0.042687
00096_shirtshort_ATUsquat_300,29.268263,0.960845,0.041911
00096_shortshort_soccer_60,27.182582,0.943063,0.057182
00096_shortshort_soccer_300,26.456337,0.939008,0.076698
00127_shortlong_ATUsquat_60,29.424944,0.960710,0.040749
00127_shortlong_ATUsquat_300,29.488352,0.962646,0.037360
00127_shortlong_ballerina_spin_60,27.556750,0.949801,0.052994
00127_shortlong_ballerina_spin_300,27.102831,0.943469,0.060690
00127_shortlong_bend_back_and_front_60,29.245632,0.957435,0.035887
00127_shortlong_bend_back_and_front_300,29.625006,0.960496,0.034274
00145_shortlong_hips_60,28.174944,0.958698,0.037587
00145_shortlong_hips_300,26.666015,0.944554,0.055199
00145_shortlong_punching_60,28.452204,0.960063,0.042088
00145_shortlong_punching_300,27.172581,0.950076,0.052918
00145_shortlong_simple_60,27.616253,0.955130,0.048910
00145_shortlong_simple_300,27.681020,0.953790,0.051550
00145_shortlong_twist_tilt_left_60,26.520744,0.944763,0.062429
00145_shortlong_twist_tilt_left_300,27.255373,0.950014,0.053970
00215_jerseyshort_flying_eagle_60,27.761458,0.952572,0.055046
00215_jerseyshort_flying_eagle_300,27.105754,0.948686,0.057413
00215_jerseyshort_hips_60,28.390662,0.955425,0.048359
00215_jerseyshort_hips_300,28.691192,0.959052,0.045721
00215_poloshort_bend_back_and_front_60,28.108284,0.955240,0.049949
00215_poloshort_bend_back_and_front_300,27.804516,0.951055,0.049507
00215_poloshort_soccer_60,26.902770,0.950191,0.058333
00215_poloshort_soccer_300,28.186406,0.951821,0.047365
00215_shortlong_tilt_twist_left_60,27.902679,0.955254,0.050952
00215_shortlong_tilt_twist_left_300,28.615018,0.958772,0.044316
03331_longshort_chicken_wings_60,29.162312,0.966539,0.033698
03331_longshort_chicken_wings_300,28.258587,0.962090,0.040079
03331_shortshort_punching_60,28.395035,0.957271,0.041428
03331_shortshort_punching_300,29.584165,0.965179,0.033168
03375_blazerlong_babysit_trial2_60,26.747322,0.948205,0.048819
03375_blazerlong_babysit_trial2_300,27.256195,0.948887,0.049934
03375_blazerlong_volleyball_trial1_60,25.898891,0.937650,0.063576
03375_blazerlong_volleyball_trial1_300,26.113540,0.938403,0.065643
03375_longlong_basketball_trial2_60,23.922691,0.931844,0.077663
03375_longlong_basketball_trial2_300,25.105266,0.937841,0.072928
03375_longlong_climb_trial1_60,25.436805,0.938048,0.066976
03375_longlong_climb_trial1_300,26.112047,0.940992,0.067874
03375_longlong_golf_trial1_60,23.811585,0.933674,0.088852
03375_longlong_golf_trial1_300,24.443510,0.933227,0.076758
03375_longlong_handball_trial1_60,23.890376,0.932219,0.096014
03375_longlong_handball_trial1_300,25.623118,0.936421,0.070989
03375_longlong_music_trial1_60,24.992764,0.939195,0.070019
03375_longlong_music_trial1_300,27.062197,0.949512,0.057656
03375_shortlong_soccer_trial2_60,24.818709,0.938017,0.065381
03375_shortlong_soccer_trial2_300,25.037319,0.937789,0.066187
03375_shortshort_run_trial2_60,24.272494,0.934918,0.085753
03375_shortshort_run_trial2_300,24.928800,0.935336,0.081938
AVERAGE,27.288556,0.949240,0.054952
STD,1.579464,0.009444,0.014254
