sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_90,27.278343,0.949288,0.063159
00032_longshort_flying_eagle_270,25.757638,0.940228,0.081172
00032_shortlong_hips_90,28.742809,0.955335,0.042961
00032_shortlong_hips_270,29.859159,0.961983,0.034756
00032_shortshort_punching_90,27.383744,0.949887,0.058769
00032_shortshort_punching_270,26.231548,0.948586,0.069860
00096_jerseyshort_chicken_wings_90,28.129841,0.961016,0.042480
00096_jerseyshort_chicken_wings_270,28.872310,0.965049,0.041247
00096_jerseyshort_shoulders_mill_90,28.704417,0.958197,0.044588
00096_jerseyshort_shoulders_mill_270,28.818721,0.958776,0.045398
00096_longshort_ballerina_spin_90,25.686665,0.936596,0.077037
00096_longshort_ballerina_spin_270,27.631995,0.946989,0.054746
00096_shirtlong_basketball_90,27.042808,0.945559,0.077878
00096_shirtlong_basketball_270,27.598320,0.951426,0.061259
00096_shirtlong_punching_90,26.182637,0.942925,0.068648
00096_shirtlong_punching_270,27.975780,0.954064,0.049557
00096_shirtshort_ATUsquat_90,29.902247,0.970199,0.040737
00096_shirtshort_ATUsquat_270,29.971756,0.969868,0.036739
00096_shortshort_soccer_90,26.707768,0.934689,0.070813
00096_shortshort_soccer_270,27.170645,0.943940,0.069499
00127_shortlong_ATUsquat_90,29.419743,0.967495,0.036520
00127_shortlong_ATUsquat_270,30.570691,0.969891,0.029520
00127_shortlong_ballerina_spin_90,26.536531,0.941004,0.061837
00127_shortlong_ballerina_spin_270,26.837423,0.942949,0.059740
00127_shortlong_bend_back_and_front_90,27.135370,0.946754,0.054867
00127_shortlong_bend_back_and_front_270,25.985559,0.939968,0.076896
00145_shortlong_hips_90,25.477374,0.948374,0.064841
00145_shortlong_hips_270,27.199990,0.951078,0.048416
00145_shortlong_punching_90,26.958276,0.954415,0.057386
00145_shortlong_punching_270,27.102205,0.954687,0.054673
00145_shortlong_simple_90,26.744930,0.957187,0.057455
00145_shortlong_simple_270,28.132184,0.960636,0.043759
00145_shortlong_twist_tilt_left_90,26.065522,0.944762,0.073530
00145_shortlong_twist_tilt_left_270,26.991336,0.947429,0.062486
00215_jerseyshort_flying_eagle_90,27.970539,0.953576,0.057104
00215_jerseyshort_flying_eagle_270,25.860039,0.945960,0.077905
00215_jerseyshort_hips_90,28.936062,0.961052,0.043128
00215_jerseyshort_hips_270,28.500919,0.959471,0.050167
00215_poloshort_bend_back_and_front_90,28.783539,0.961618,0.043121
00215_poloshort_bend_back_and_front_270,28.151328,0.956527,0.051009
00215_poloshort_soccer_90,27.111820,0.949744,0.064569
00215_poloshort_soccer_270,27.527263,0.952296,0.052147
00215_shortlong_tilt_twist_left_90,28.753704,0.959492,0.040719
00215_shortlong_tilt_twist_left_270,28.755326,0.959318,0.044930
03331_longshort_chicken_wings_90,29.402594,0.969535,0.031624
03331_longshort_chicken_wings_270,28.335582,0.966126,0.039171
03331_shortshort_punching_90,29.971179,0.965283,0.034886
03331_shortshort_punching_270,27.930986,0.959823,0.043113
03375_blazerlong_babysit_trial2_90,25.166682,0.944991,0.069321
03375_blazerlong_babysit_trial2_270,27.057995,0.951886,0.054944
03375_blazerlong_volleyball_trial1_90,26.230481,0.950053,0.060953
03375_blazerlong_volleyball_trial1_270,25.829910,0.944126,0.066379
03375_longlong_basketball_trial2_90,24.398216,0.941232,0.082519
03375_longlong_basketball_trial2_270,24.871891,0.940028,0.084970
03375_longlong_climb_trial1_90,25.179148,0.938833,0.077071
03375_longlong_climb_trial1_270,24.783713,0.935175,0.082402
03375_longlong_golf_trial1_90,24.168336,0.941645,0.089844
03375_longlong_golf_trial1_270,24.700452,0.938164,0.083782
03375_longlong_handball_trial1_90,25.319543,0.943269,0.078440
03375_longlong_handball_trial1_270,25.367228,0.938927,0.074223
03375_longlong_music_trial1_90,25.530560,0.946667,0.061295
03375_longlong_music_trial1_270,26.912573,0.951087,0.057416
03375_shortlong_soccer_trial2_90,24.652971,0.939901,0.072205
03375_shortlong_soccer_trial2_270,24.444254,0.943114,0.078292
03375_shortshort_run_trial2_90,25.071585,0.939741,0.083222
03375_shortshort_run_trial2_270,24.212789,0.935029,0.092348
AVERAGE,27.071144,0.950832,0.059643
STD,1.632893,0.009755,0.016069
