sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_45,25.786777,0.930756,0.076573
00032_longshort_flying_eagle_315,26.190447,0.940716,0.065707
00032_shortlong_hips_45,28.445452,0.953290,0.042023
00032_shortlong_hips_315,27.935404,0.948720,0.043873
00032_shortshort_punching_45,27.415429,0.947669,0.051576
00032_shortshort_punching_315,27.041497,0.942000,0.057334
00096_jerseyshort_chicken_wings_45,28.186709,0.958981,0.040603
00096_jerseyshort_chicken_wings_315,27.295760,0.951195,0.051042
00096_jerseyshort_shoulders_mill_45,28.220089,0.956250,0.044943
00096_jerseyshort_shoulders_mill_315,27.215794,0.945396,0.054095
00096_longshort_ballerina_spin_45,26.547590,0.946819,0.053520
00096_longshort_ballerina_spin_315,26.586864,0.939655,0.062002
00096_shirtlong_basketball_45,26.795113,0.938520,0.065974
00096_shirtlong_basketball_315,26.448521,0.940984,0.070365
00096_shirtlong_punching_45,26.528966,0.943700,0.056862
00096_shirtlong_punching_315,26.836113,0.944011,0.060067
00096_shirtshort_ATUsquat_45,28.493114,0.959496,0.048009
00096_shirtshort_ATUsquat_315,28.371997,0.957193,0.049829
00096_shortshort_soccer_45,28.437399,0.953721,0.044802
00096_shortshort_soccer_315,26.022802,0.938203,0.078545
00127_shortlong_ATUsquat_45,28.080259,0.954969,0.048312
00127_shortlong_ATUsquat_315,28.904718,0.956003,0.044018
00127_shortlong_ballerina_spin_45,27.214891,0.946924,0.048670
00127_shortlong_ballerina_spin_315,25.887571,0.932622,0.062937
00127_shortlong_bend_back_and_front_45,26.248853,0.936555,0.072449
00127_shortlong_bend_back_and_front_315,25.296875,0.932421,0.078172
00145_shortlong_hips_45,27.389183,0.954246,0.043964
00145_shortlong_hips_315,26.367522,0.941107,0.058553
00145_shortlong_punching_45,27.740694,0.955094,0.052438
00145_shortlong_punching_315,26.788358,0.949105,0.058669
00145_shortlong_simple_45,26.959036,0.948787,0.056291
00145_shortlong_simple_315,26.647196,0.943651,0.059202
00145_shortlong_twist_tilt_left_45,26.224473,0.939855,0.065885
00145_shortlong_twist_tilt_left_315,26.348760,0.940454,0.064183
00215_jerseyshort_flying_eagle_45,25.892127,0.936298,0.075405
00215_jerseyshort_flying_eagle_315,26.492674,0.942623,0.069796
00215_jerseyshort_hips_45,28.312906,0.955864,0.046138
00215_jerseyshort_hips_315,27.151135,0.952073,0.056572
00215_poloshort_bend_back_and_front_45,27.443916,0.946526,0.050006
00215_poloshort_bend_back_and_front_315,27.855142,0.949694,0.048223
00215_poloshort_soccer_45,27.391408,0.952455,0.046918
00215_poloshort_soccer_315,27.551467,0.949043,0.051785
00215_shortlong_tilt_twist_left_45,26.999171,0.941866,0.054928
00215_shortlong_tilt_twist_left_315,28.021046,0.954844,0.044369
03331_longshort_chicken_wings_45,28.400539,0.961912,0.041963
03331_longshort_chicken_wings_315,27.415936,0.956519,0.051001
03331_shortshort_punching_45,28.315273,0.955706,0.038738
03331_shortshort_punching_315,29.037876,0.962058,0.037407
03375_blazerlong_babysit_trial2_45,26.312980,0.941932,0.055665
03375_blazerlong_babysit_trial2_315,26.015979,0.935914,0.061455
03375_blazerlong_volleyball_trial1_45,26.307389,0.936879,0.058644
03375_blazerlong_volleyball_trial1_315,26.295329,0.936948,0.063703
03375_longlong_basketball_trial2_45,24.728148,0.933161,0.076288
03375_longlong_basketball_trial2_315,25.133362,0.934577,0.073607
03375_longlong_climb_trial1_45,25.800691,0.937533,0.067428
03375_longlong_climb_trial1_315,25.173015,0.934154,0.074758
03375_longlong_golf_trial1_45,25.598992,0.939895,0.073215
03375_longlong_golf_trial1_315,25.664518,0.941896,0.071443
03375_longlong_handball_trial1_45,25.576040,0.935837,0.072121
03375_longlong_handball_trial1_315,25.521620,0.931987,0.071074
03375_longlong_music_trial1_45,27.234772,0.948446,0.047435
03375_longlong_music_trial1_315,26.714924,0.943407,0.058540
03375_shortlong_soccer_trial2_45,24.841053,0.932708,0.074749
03375_shortlong_soccer_trial2_315,24.391212,0.930384,0.081879
03375_shortshort_run_trial2_45,25.577164,0.937605,0.066917
03375_shortshort_run_trial2_315,25.433355,0.935481,0.076963
AVERAGE,26.810627,0.944777,0.058646
STD,1.097034,0.008595,0.011784
